Names,Composer,Style,Tempo
African Flower (petite Fleur Africaine),Duke Ellington,Latin,Medium
Afro Blue,Mongo Santamaria,Latin,Fast
Afternoon In Paris,John Lewis,Swing,Medium
Airegin,Sonny Rollins,Bop,Fast
Agua De Beber (Water To Drink),Antonio Carlos Jobim,Bossa Nova,Medium
Alfie,Burt Bacharach,Ballad,Ballad
Alice In Wonderland,Sammy Fain,Swing,Medium
All Blues,Miles Davis,Swing,Medium
All By Myself,Irving Berlin,Swing,Medium
All Of Me,Seymour Simons,Swing,Medium
All Of You,Cole Porter,Ballad,Ballad
All The Things You Are,Jerome Kern,Swing,Medium
Always,Irving Berlin,Ballad,Ballad
"Alright, Okay, You Win",Mayme Watts,Swing,Medium
Ana Maria,Wayne Shorter,Bossa Nova,Medium
Angel Eyes,Matt Dennis,Swing,Slow
Anthropology,Charlie Parker,Bop,Fast
Apple Honey,Woody Herman,Swing,Medium
April In Paris,Vernon Duke,Swing,Medium
April Joy,Pat Metheny,Straight 8ths,Medium-Fast
"Arise, Her Eyes",Steve Swallow,Swing,Medium
Armageddon,Wayne Shorter,Swing,Medium
Au Privave,Charlie Parker,Bop,Fast
Autumn In New York,Vernon Duke,Ballad,Ballad
Autumn Leaves,Joseph Kosma,Swing,Medium
